,Zone,Year,Disease,Number of Cases,"Rate per 100,000 population"
0,Northern,2014,Malaria,0,0.0
1,Western,2017,Creutzfeldt-Jakob Disease - Classic,0,0.0
2,Nova Scotia,2014,Listeriosis - Invasive,5,0.5
3,Northern,2017,Botulism,0,0.0
4,Western,2014,Salmonellosis,55,28.0
5,Western,2015,Tetanus,0,0.0
6,Western,2014,Influenza,25,12.7
7,Western,2017,Tuberculosis,1,0.5
8,Eastern,2014,Vancomycin resistant Enterococcus (VRE),1,0.6
9,Nova Scotia,2014,Hepatitis B - Chronic,20,2.1
10,Central,2015,Lyme Disease - Probable,18,4.1
11,Northern,2015,Salmonellosis,22,14.7
12,Nova Scotia,2016,Methicillin Resistant Staphylococcus Aureus (MRSA),570,60.0
13,nan,2014,Syphilis - Non-Infectious or Stage Pending,1,0.6
14,Nova Scotia,2017,Campylobacteriosis,185,19.4
15,Nova Scotia,2014,Acute Flaccid Paralysis,1,0.1
16,Central,2015,Salmonellosis,65,14.8
17,Northern,2014,Gonorrhea,9,5.8
18,Central,2015,Cryptosporidiosis,10,2.3
19,Northern,2015,Acquired Immune Deficiency Syndrome,0,0.0
20,Western,2016,Lyme Disease - Confirmed,131,66.9
21,Northern,2014,Creutzfeldt-Jakob Disease - Classic,0,0.0
22,Nova Scotia,2014,West Nile Virus,0,0.0
23,Central,2014,Amebiasis,2,0.5
24,Western,2016,Shigellosis,1,0.5
25,Central,2017,Gonorrhea,192,42.4
26,Western,2014,Shellfish Poisoning,0,0.0
27,Northern,2016,Legionellosis,0,0.0
28,Nova Scotia,2015,Pneumococcal Disease Invasive,52,5.5
29,Nova Scotia,2014,Lyme Disease - Probable,47,5.0
30,Nova Scotia,2016,Lyme Disease - Probable,161,17.0
31,Northern,2014,Listeriosis - Invasive,0,0.0
32,Eastern,2017,Meningococcal Disease Invasive,1,0.6
33,Northern,2015,Group A Streptococcal Disease Invasive -> non-Severe,0,0.0
34,Western,2015,Chlamydia,438,223.8
35,Nova Scotia,2016,Hepatitis C,299,31.5
36,Eastern,2014,Acute Flaccid Paralysis,0,0.0
37,Northern,2016,Shellfish Poisoning,0,0.0
38,Nova Scotia,2015,Giardiasis,87,9.2
39,Northern,2017,Vancomycin resistant Enterococcus (VRE),37,24.8
40,Central,2017,Tuberculosis,5,1.1
41,Nova Scotia,2015,Campylobacteriosis,155,16.4
42,Northern,2016,West Nile Virus,0,0.0
43,Central,2017,Meningococcal Disease Invasive,4,0.9
44,zastern,2014,Listeriosis - Invasive,0,0.0
45,Eastern,2017,Tuberculosis,2,1.3
46,Western,2014,Malaria,2,1.0
47,Eastern,2014,Meningococcal Disease Invasive,2,1.2
48,Nova Scotia,2015,Hepatitis C,357,37.9
49,Western,2014,Lyme Disease - Confirmed,51,25.9
50,Eastern,2017,Acquired Immune Deficiency Syndrome,1,0.6
51,Eastern,2015,Mumps,1,0.6
52,Nova Scotia,2016,Lyme Disease - Confirmed,165,17.4
53,Central,2015,Haemophilus influenzae Type b Invasive Disease,0,0.0
54,Eastern,2016,Cyclosporiasis,0,0.0
55,Central,2016,Typhoid,1,0.2
56,Central,2016,Clostridium difficile,387,86.6
57,Northern,2017,Clostridium difficile,111,74.4
58,Nova Scotia,2017,West Nile Virus,0,0.0
59,Central,2015,Acquired Immune Deficiency Syndrome,3,0.7
60,Northern,2016,Group A Streptococcal Disease Invasive -> Severe,2,1.4
61,Western,2014,Meningitis - Bacterial,0,0.0
62,Central,2016,Methicillin Resistant Staphylococcus Aureus (MRSA),199,44.5
63,Central,2016,Syphilis - Infectious,12,2.7
64,Central,2015,Chlamydia,1725,392.7
65,Eastern,2016,Hepatitis B - Chronic,2,1.3
66,Central,2017,Syphilis - Infectious,18,4.0
67,Western,2014,Legionellosis,0,0.0
68,Central,NULL,Salmonellosis,57,12.8
69,Central,2014,Lyme Disease - Probable,5,1.2
70,Western,2016,Group A Streptococcal Disease Invasive -> non-Severe,6,3.1
71,Eastern,2017,Lyme Disease - Probable,1,0.6
72,Nova Scotia,2016,Chlamydia,2931,308.7
73,Northern,2017,Lyme Disease - Confirmed,34,22.8
74,Central,2014,Shigellosis,6,1.4
75,Central,2014,Mumps,1,0.2
76,Western,2016,Chlamydia,497,253.7
77,Western,2017,Gonorrhea,11,5.6
78,Western,2016,Salmonellosis,29,14.8
79,Central,2014,Hepatitis B - Acute,1,0.2
80,Eastern,2017,Tetanus,0,0.0
81,Western,2015,NULL,52,26.6
82,Eastern,2017,Hepatitis B - Acute,1,0.6
83,Nova Scotia,2014,Malaria,3,0.3
84,Central,2016,Campylobacteriosis,73,16.3
85,Central,2017,Lyme Disease - Probable,23,5.1
86,Nova Scotia,2016,Human Immunodeficiency Virus,16,1.7
87,Central,2017,Clostridium difficile,430,95.0
88,Eastern,2017,Legionellosis,0,0.0
89,Eastern,2015,Meningitis - Bacterial,0,0.0
90,Nova Scotia,2014,Creutzfeldt-Jakob Disease - Classic,2,0.2
91,Nova Scotia,2016,Listeriosis - Invasive,4,0.4
92,Central,2016,Hepatitis B - Acute,6,1.3
93,Western,2017,Syphilis - Infectious,4,2.1
94,Eastern,2017,Meningitis - Bacterial,0,0.0
95,Western,2015,Clostridium difficile,188,96.1
96,Nova Scotia,2017,Meningitis - Bacterial,1,0.1
97,Eastern,2014,Clostridium difficile,158,95.3
98,Central,2016,Pertussis,16,3.6
99,Western,2014,Creutzfeldt-Jakob Disease - Classic,1,0.5
100,Eastern,2017,Pneumococcal Disease Invasive,12,7.6
101,Central,2016,Lyme Disease - Probable,13,2.9
102,Western,2017,Acquired Immune Deficiency Syndrome,0,0.0
103,Western,2015,Haemophilus influenzae Type b Invasive Disease,0,0.0
104,Western,2017,Lyme Disease - Probable,248,127.3
105,Western,2016,Haemophilus influenzae Type b Invasive Disease,0,0.0
106,Eastern,2017,Hepatitis B - Chronic,1,0.6
107,Northern,2015,Lyme Disease - Probable,6,4.0
108,Western,2017,Group B Streptococcal Disease of the Newborn,0,0.0
109,Eastern,2016,Malaria,2,1.3
110,N/A,2014,Acute Flaccid Paralysis,0,0.0
111,Nova Scotia,2016,Hepatitis B - Chronic,13,1.4
112,Nova Scotia,2015,Lyme Disease - Confirmed,124,13.1
113,Northern,2017,Meningitis - Bacterial,0,0.0
114,Northern,2015,Acute Flaccid Paralysis,0,0.0
115,Nova Scotia,2016,Tuberculosis,2,0.2
116,Central,2017,Methicillin Resistant Staphylococcus Aureus (MRSA),183,40.4
117,Eastern,2017,Salmonellosis,31,19.7
118,Nova Scotia,2017,Salmonellosis,171,17.9
119,Northern,2016,Hepatitis A,0,0.0
120,Eastern,2016,Salmonellosis,20,12.6
121,Nova Scotia,2014,Tetanus,0,0.0
122,Central,2016,Cryptosporidiosis,6,1.3
123,Northern,2015,Giardiasis,12,8.0
124,Northern,2014,Amebiasis,0,0.0
125,Western,2014,Chlamydia,395,200.9
126,Western,2014,West Nile Virus,0,0.0
127,Northern,2016,Rubella,0,0.0
128,Nova Scotia,2014,Acquired Immune Deficiency Syndrome,2,0.2
129,Nova Scotia,2015,Haemophilus influenzae Type b Invasive Disease,0,0.0
130,Western,2015,West Nile Virus,0,0.0
131,Northern,2017,Lyme Disease - Probable,7,4.7
132,Northern,2014,West Nile Virus,0,0.0
133,Eastern,2015,Creutzfeldt-Jakob Disease - Classic,0,0.0
134,Nova Scotia,2017,Acquired Immune Deficiency Syndrome,1,0.1
